name,RA,DEC,D,e_D,mem_class,r,e_r,J,e_J,K,e_K,G,e_G,RP,e_RP,BP,e_BP,binary,ruwe,mass,e_mass,Lbol,e_Lbol,tau,EW,e_EW,chi,e_chi,Teff,e_Teff,Prot,xflux,e_xflux,x_source,xflag,radius,e_radius
2MASS J08214742+1327148,125.447584,13.454133,215.24,0.74,ms,nan,nan,nan,nan,11.195,0.022,13.658,0.003,12.861,0.004,14.343,0.003,0,1.009,0.6954,0.0004,600.68119,5.87691,27.34167,0.71259,0.04335,8.54432,0.85487,4375.405,5.92,nan,nan,nan,nan,nan,0.68623541,0.00135308
2MASS J08215034+1929206,125.459774,19.489063,186.34,0.82,ms,nan,nan,nan,nan,8.025,0.038,8.698,0.003,8.432,0.004,8.84,0.003,0,1.095,1.8096,0.006,35033.51338,324.01619,nan,nan,nan,nan,nan,7588.576,18.992,nan,nan,nan,nan,nan,1.747,0
2MASS J08220182+2019363,125.507611,20.326773,179.51,2.1,ms,nan,nan,nan,nan,12.895,0.022,16.403,0.003,15.249,0.004,17.769,0.014,0,0.991,0.3692,0.0031,62.05581,1.07281,65.84132,-0.19685,0.0518,4.63248,0.46403,3428.666,4.963,nan,nan,nan,nan,nan,0.360491436,0.001891975
2MASS J08220218+1959592,125.509116,19.999781,172.86,0.63,ms,nan,nan,nan,nan,9.926,0.019,12.365,0.003,11.594,0.004,13.013,0.003,1,1.434,0.7907,0.0009,1166.68615,7.38559,21.76408,0.82226,0.03322,9.41287,0.94135,4902.384,6.166,nan,nan,nan,nan,nan,0.762506488,0.000639471
2MASS J08220452+1703594,125.518868,17.066502,207.21,2.25,ms,nan,nan,nan,nan,12.702,0.021,16.357,0.003,15.178,0.004,17.803,0.011,0,1.036,0.3977,0.0019,85.75249,1.86272,60.60248,nan,nan,4.83999,0.48419,3466.924,2.489,nan,nan,nan,nan,nan,0.41638535,0.003733112
2MASS J08220850+1224471,125.535417,12.413107,213.31,2.07,ms,nan,nan,nan,nan,12.534,0.027,16.163,0.003,15.002,0.004,17.555,0.015,0,0.995,0.424,0.0022,101.0938,1.30605,56.20302,-2.80419,0.12477,5.13303,0.51385,3523.947,5.017,10.511,nan,nan,nan,nan,0.43598529,0.001393703
2MASS J08221194+1331204,125.549755,13.52234,209.91,2.82,ms,nan,nan,nan,nan,12.617,0.024,16.516,0.003,15.267,0.005,18.19,0.024,0,1.013,0.3874,0.0023,76.13432,2.04292,62.44182,nan,nan,4.76526,0.47682,3453.146,3.067,nan,nan,nan,nan,nan,0.395718838,0.004599937
2MASS J08222682+2047148,125.611791,20.787445,190.95,1.31,ms,nan,nan,nan,nan,12.447,0.022,16.001,0.003,14.856,0.004,17.335,0.009,0,1.028,0.4157,0.0016,96.40016,0.88882,57.54372,-1.15157,0.1417,5.04486,0.50477,3505.365,3.587,nan,nan,nan,nan,nan,0.430823595,0.000996477
2MASS J08222856+0512568,125.61903,5.215793,208.81,9.62,ms,nan,nan,nan,nan,14.272,0.074,18.293,0.003,17.074,0.011,20.147,0.073,0,1.13,0.2074,0.0054,20.74017,1.51672,107.71864,nan,nan,3.08687,0.31706,3160.78,11.789,nan,nan,nan,nan,nan,0.245944792,0.006719885
2MASS J08223100+1953447,125.629198,19.895756,199.2,0.72,ms,nan,nan,nan,nan,9.36,0.021,10.552,0.003,10.115,0.004,10.829,0.003,0,1.053,1.1605,0.002,7039.20042,46.58448,10.15602,3.59337,0.02057,9.14431,0.91447,6129.374,5.32,nan,nan,nan,nan,nan,1.19997082,0.00220986
