name,RA,DEC,D,e_D,mem_class,r,e_r,J,e_J,K,e_K,G,e_G,BP,e_BP,RP,e_RP,binary,ruwe,mass,e_mass,Lbol,e_Lbol,tau,EW,e_EW,chi,e_chi,Teff,e_Teff,Prot,xflux,e_xflux,x_source,xflag,radius,e_radius
2MASS J04471851+0627113,71.827150,6.453157,40.5728912,0.02157975,ms,nan,nan,nan,nan,7.875,0.026,10.689,0.003,11.546,0.003,9.784,0.004,0,1.091,0.631,0.000,361.47726,0.94555,32.12328,0.39524,0.14174,6.98774,0.69881,4051.045613,2.079990703,14.4400,3.33E-14,1.29E-14,s,nan,0.623324402,0.000283635
2MASS J04472420+2239486,71.850835,22.663527,51.394825,0.16490175,ms,nan,nan,nan,nan,11.965,0.020,16.311,0.003,18.438,0.020,14.957,0.005,0,1.010,0.149,0.000,9.40831,0.04936,129.90950,-5.61086,0.14030,2.26671,0.22675,3016.054279,1.094227546,0.4951,nan,nan,nan,nan,0.18247824,0.000336685
2MASS J04472618+2303032,71.859106,23.050915,54.7442322,0.0404167,ms,nan,nan,nan,nan,7.995,0.033,10.303,0.003,10.901,0.003,9.568,0.004,0,0.927,0.722,0.000,752.17047,1.37575,25.61581,0.80424,0.03027,9.10317,0.91032,4557.789484,1.813978313,11.7853,nan,nan,nan,nan,0.709834211,0.000136048
2MASS J04473532+1453209,71.897204,14.889153,47.69347,0.04088785,ms,nan,nan,nan,nan,8.170,0.017,10.928,0.003,11.738,0.003,10.047,0.004,0,1.251,0.643,0.000,392.70245,0.81339,31.14031,0.45846,0.13569,7.20852,0.72088,4113.257471,1.283725903,13.0073,6.81E-14,1.30E-14,x,nan,0.632585207,0.000250327
2MASS J04473712+1013587,71.904692,10.232990,52.7084732,0.0498257,ms,nan,nan,nan,nan,9.984,0.020,13.719,0.003,15.215,0.006,12.526,0.004,0,1.179,0.363,0.000,59.97542,0.14708,67.04305,-3.08982,0.02960,4.57893,0.45791,3418.793292,0.709171869,nan,2.65E-13,8.41E-14,r,0,0.356727442,0.000270372
2MASS J04473755+1815315,71.906468,18.258774,47.347023,0.08994675,ms,nan,nan,nan,nan,6.837,0.018,8.352,0.003,8.708,0.003,7.822,0.004,2,1.527,0.957,0.001,2920.26700,11.19865,15.07749,nan,nan,9.63982,0.96405,5567.73197,2.77041569,nan,1.63E-13,6.36E-14,r,nan,0.934802067,0.001218983
2MASS J04473999-2010338,71.916636,-20.176071,54.4287987,0.32735065,ms,nan,nan,nan,nan,9.471,0.020,13.186,0.003,14.637,0.003,12.004,0.004,2,10.497,0.417,0.001,97.33864,0.79131,57.26749,nan,nan,5.06283,0.50651,3509.151701,3.164656949,nan,1.18E-14,3.53E-15,r,nan,0.431875473,0.000879071
2MASS J04474178+2609009,71.924098,26.150270,47.3460388,0.0383301,ms,nan,nan,nan,nan,7.717,0.027,10.155,0.003,10.805,0.003,9.384,0.004,0,0.986,0.705,0.000,687.52069,1.28546,26.68069,0.71623,0.06745,8.94113,0.89415,4468.576899,1.854278624,nan,nan,nan,nan,nan,0.703143267,0.000139071
2MASS J04474965+1241292,71.956911,12.691462,58.82352941,4.01384083,ms,nan,nan,nan,nan,10.455,0.018,14.583,0.006,16.146,0.004,13.115,0.004,0,nan,0.287,0.017,39.34207,3.99360,84.22373,-3.54704,0.09370,3.89358,0.42241,3296.715869,27.99222231,nan,1.61E-13,7.37E-14,r,0,0.310185425,0.010672035
2MASS J04475405+0722145,71.975220,7.370720,57.6602135,0.120203,ms,nan,nan,nan,nan,11.152,0.022,15.165,0.003,16.940,0.006,13.896,0.004,0,1.065,0.222,0.000,25.01954,0.09812,102.94095,-5.20438,0.26254,3.27925,0.32795,3192.113815,0.653823747,nan,nan,nan,nan,nan,0.263804875,0.00037268
2MASS J04475466-0047361,71.977758,-0.793386,48.9776077,0.4632721,uc,nan,nan,nan,nan,12.994,0.025,18.275,0.003,20.558,0.191,16.760,0.011,0,1.110,0.090,0.000,2.42142,0.01203,157.80834,nan,nan,0.80379,0.08059,2669.286592,2.152298038,nan,nan,nan,nan,nan,0.119142927,0.000172184
2MASS J04475569+2534471,71.982077,25.579750,50.3654823,0.0508938,ms,nan,nan,nan,nan,9.771,0.018,13.494,0.003,15.018,0.004,12.293,0.004,0,1.280,0.375,0.000,66.36705,0.22455,64.64634,-5.00647,0.29776,4.67901,0.46791,3437.245097,0.39117515,1.0360,2.08E-13,1.36E-14,r,nan,0.371867646,0.000586763
2MASS J04475663+1901260,71.985973,19.023907,53.8977165,0.04642105,ms,nan,nan,nan,nan,9.183,0.042,12.542,0.003,13.699,0.003,11.467,0.004,0,1.175,0.488,0.001,149.76597,0.38141,46.92154,nan,nan,5.65585,0.56559,3644.503817,0.883700058,nan,nan,nan,nan,nan,0.493639313,0.000419758
2MASS J04475677+1901288,71.986543,19.024685,54.3230743,0.06141665,ms,nan,nan,nan,nan,9.401,0.020,13.166,0.003,14.683,0.004,11.956,0.004,0,1.659,0.419,0.000,98.27371,0.23106,56.99641,nan,nan,5.08056,0.50807,3512.888585,0.91790741,nan,nan,nan,nan,nan,0.432913496,0.000254974
2MASS J04480086+1703216,72.003622,17.056002,49.5394325,0.20434955,ms,nan,nan,nan,nan,7.374,0.023,10.526,0.003,11.325,0.004,9.446,0.004,2,4.195,0.687,0.001,521.65195,2.89082,27.88867,-0.54803,0.03799,8.13709,0.81394,4289.424936,3.428677413,nan,4.45E-13,5.32E-14,rx,nan,0.666937863,0.000668592
2MASS J04480454+4629073,72.018918,46.485367,56.5389481,0.1120815,ms,nan,nan,nan,nan,11.406,0.022,15.303,0.003,16.899,0.012,14.022,0.004,0,1.015,0.212,0.000,21.96304,0.08322,106.23313,nan,nan,3.14562,0.31459,3170.349646,0.631738725,nan,nan,nan,nan,nan,0.251399298,0.000360091
2MASS J04481294+3644031,72.053935,36.734219,49.3575287,0.110878,ms,nan,nan,nan,nan,11.624,0.019,15.638,0.003,17.498,0.010,14.353,0.004,0,1.053,0.177,0.000,14.02836,0.05420,118.60655,nan,nan,2.68313,0.26834,3094.259814,0.697812849,nan,nan,nan,nan,nan,0.210389122,0.000293081
2MASS J04482244+2051433,72.093534,20.862041,55.5519028,0.421957,ms,nan,nan,nan,nan,12.278,0.023,17.227,0.003,20.162,0.050,15.755,0.005,0,1.115,0.120,0.000,5.79675,0.04674,142.94409,nan,nan,1.74998,0.17532,2910.042831,2.202619765,nan,nan,nan,nan,nan,0.152840115,0.000348748
2MASS J04482974+2026458,72.123937,20.446077,61.0501251,0.18252375,ms,nan,nan,nan,nan,11.874,0.022,16.037,0.003,17.995,0.010,14.727,0.004,0,1.075,0.180,0.000,14.63350,0.07061,117.33768,-5.13751,0.12711,2.72537,0.27259,3101.901979,0.871094348,0.7944,nan,nan,nan,nan,0.213598831,0.00036586
2MASS J04483062+1623187,72.127613,16.388548,48.103817,0.05169675,ms,nan,nan,nan,nan,8.543,0.017,11.648,0.003,12.640,0.003,10.658,0.004,0,1.126,0.562,0.000,248.50957,0.85571,38.45433,0.10172,0.03019,6.29300,0.62931,3828.588895,1.085719284,15.6900,2.33E-14,2.78E-15,x,nan,0.576223892,0.000597146
2MASS J04483498+1843446,72.145784,18.729069,48.5108795,0.07733345,ms,nan,nan,nan,nan,10.708,0.019,14.713,0.003,16.512,0.005,13.439,0.004,0,1.087,0.226,0.000,26.44488,0.08748,101.57653,-4.80699,0.09219,3.33567,0.33358,3201.368576,0.551642958,nan,nan,nan,nan,nan,0.269080088,0.000314436
2MASS J04484211+2106035,72.175460,21.100992,44.1902847,0.40859415,ms,nan,nan,nan,nan,7.072,0.018,8.834,0.003,9.258,0.003,8.243,0.004,2,7.624,0.869,0.004,1651.48579,40.09276,18.21262,1.90742,0.19350,9.06907,0.91446,5216.182923,20.83465516,nan,1.74E-13,3.20E-14,rs,nan,0.804389268,0.003333545
2MASS J04484599+1123084,72.191636,11.385689,44.1230698,0.2350407,ms,nan,nan,nan,nan,11.534,0.026,16.274,0.003,18.720,0.029,14.823,0.004,0,2.017,0.136,0.001,7.67770,0.06348,135.40735,nan,nan,2.05442,0.20561,2973.54885,1.721817358,0.2053,3.72E-14,9.35E-15,s,nan,0.169399646,0.00052979
2MASS J04485167+1556511,72.215324,15.947533,60.9447975,0.0507889,ms,nan,nan,nan,nan,7.737,0.021,9.474,0.003,9.894,0.003,8.888,0.004,0,0.979,0.881,0.000,1765.95363,5.35822,17.76397,nan,nan,8.74916,0.87498,5273.019386,1.809132901,8.9214,4.56E-14,1.15E-14,c,nan,0.814097959,0.000657867
2MASS J04485957+1536176,72.248243,15.604903,48.4278107,0.4507198,ms,nan,nan,nan,nan,10.131,0.018,14.185,0.003,15.979,0.004,12.871,0.004,1,8.347,0.284,0.002,38.70352,0.53416,84.98700,-2.73416,0.02539,3.86586,0.38728,3291.978072,3.968583273,nan,nan,nan,nan,nan,0.30837914,0.001513022
2MASS J04490351+1838285,72.264653,18.641256,45.5556259,0.03757855,ms,nan,nan,nan,nan,7.059,0.026,8.757,0.003,9.172,0.003,8.174,0.004,2,0.934,0.889,0.000,1900.70309,5.75150,17.45593,nan,nan,8.65880,0.86590,5316.929991,1.804253393,nan,2.48E-13,7.61E-14,r,nan,0.830065451,0.000656092
2MASS J04490408+0858523,72.267025,8.981220,42.5618286,0.0793953,ms,nan,nan,nan,nan,11.645,0.026,15.954,0.003,18.066,0.010,14.610,0.004,0,1.028,0.147,0.000,9.07325,0.03163,130.87143,nan,nan,2.22634,0.22267,3008.471587,0.727654865,nan,nan,nan,nan,nan,0.180145104,0.000223894
2MASS J04490580-0228233,72.274183,-2.473153,38.0007973,0.52295875,uc,nan,nan,nan,nan,13.308,0.034,19.200,0.004,21.626,0.194,17.668,0.014,0,1.040,0.079,0.000,1.09664,0.01907,0.00000,nan,nan,0.58918,0.05894,2365.169047,4.4921864,nan,nan,nan,nan,nan,0.101505635,0.00014974
2MASS J04491054+1348414,72.293934,13.811507,45.0512886,0.0481186,ms,nan,nan,nan,nan,10.348,0.018,14.281,0.003,16.011,0.004,13.025,0.004,0,1.101,0.253,0.000,32.31410,0.09139,93.25653,-4.23187,0.11051,3.59239,0.35926,3245.241093,0.66904212,2.4526,1.41E-13,5.98E-14,r,0,0.28927114,0.000289918
2MASS J04491107+1742557,72.296150,17.715483,58.3786583,0.05573275,ms,nan,nan,nan,nan,9.605,0.017,12.999,0.003,14.217,0.003,11.904,0.004,1,1.127,0.452,0.000,121.59714,0.32975,51.91382,nan,nan,5.41836,0.54185,3584.083997,0.705681108,nan,nan,nan,nan,nan,0.460450398,0.000423409
2MASS J04491296+2448103,72.304018,24.802870,49.1915016,0.08285715,ms,nan,nan,nan,nan,6.956,0.038,9.234,0.003,9.807,0.005,8.512,0.005,2,1.500,0.833,0.001,1470.91120,3.56292,19.76056,0.38643,0.15661,9.51820,0.95186,5122.405381,1.838725596,nan,1.42E-12,1.58E-13,r,nan,0.787481076,0.000367745
2MASS J04492830+1916386,72.367930,19.277412,49.5894585,0.07178115,ms,nan,nan,nan,nan,11.048,0.019,15.065,0.003,16.891,0.007,13.787,0.004,0,1.046,0.209,0.000,21.23415,0.06663,107.10543,-4.12581,0.03956,3.11101,0.31112,3164.71208,0.523307483,nan,nan,nan,nan,nan,0.248185886,0.000298285
2MASS J04493211+1553197,72.383815,15.888817,48.3890381,0.0456467,ms,nan,nan,nan,nan,6.355,0.016,7.597,0.003,7.876,0.003,7.148,0.004,0,0.867,1.093,0.002,5962.17725,22.20246,11.49777,nan,nan,9.29212,0.92922,6005.932256,2.421388526,9.6197,3.76E-13,9.22E-14,r,nan,1.14863844,0.001008912
2MASS J04493586+2145391,72.399438,21.760872,60.7251549,0.9367638,ms,nan,nan,nan,nan,9.220,0.017,13.304,0.003,14.112,0.005,11.636,0.004,1,6.546,0.430,0.004,104.66106,2.13828,55.24820,-0.85134,0.05977,5.19734,0.52109,3537.501562,7.905105329,nan,nan,nan,nan,nan,0.439750434,0.002195863
2MASS J04493656+1701593,72.402343,17.033159,50.2715492,0.07055855,ms,nan,nan,nan,nan,10.754,0.018,14.761,0.003,16.536,0.006,13.489,0.004,0,1.062,0.228,0.000,27.01197,0.08342,101.05953,-5.75178,0.25551,3.35641,0.33565,3204.912624,0.515063554,1.4320,nan,nan,nan,nan,0.271100196,0.000293586
2MASS J04495121-1632310,72.463400,-16.541952,54.397213,0.08153725,ms,nan,nan,nan,nan,10.770,0.022,14.632,0.003,16.267,0.004,13.402,0.004,0,1.120,0.260,0.001,33.74963,0.11143,91.30113,nan,nan,3.65263,0.36529,3255.53765,0.780836479,nan,nan,nan,nan,nan,0.293732982,0.000338362
2MASS J04495209+0606336,72.467056,6.109357,43.6049614,0.0533371,ms,nan,nan,nan,nan,9.627,0.022,13.401,0.003,14.981,0.003,12.184,0.004,0,1.877,0.352,0.000,56.30440,0.15221,69.33720,-1.01074,0.05500,4.47973,0.44799,3400.505945,0.781617654,17.1200,4.33E-14,6.59E-15,x,nan,0.349755392,0.000297992
2MASS J04495795+2712369,72.491489,27.210272,40.8669395,0.0423088,ms,nan,nan,nan,nan,10.205,0.021,14.101,0.003,15.774,0.005,12.856,0.004,0,1.168,0.250,0.000,31.56052,0.08825,94.33822,-5.34023,0.04050,3.55968,0.35599,3239.651296,0.661439052,1.4793,nan,nan,nan,nan,0.286848895,0.000286624
2MASS J04500069+1624436,72.502887,16.412117,49.1258583,0.04846385,ms,nan,nan,nan,nan,7.839,0.016,10.180,0.003,10.809,0.003,9.424,0.004,0,1.091,0.711,0.000,708.19038,1.40377,26.32375,0.78681,0.09897,9.06269,0.90630,4497.980903,1.96571801,11.9800,nan,nan,nan,nan,0.705348568,0.000147429
2MASS J04501665+2037330,72.569414,20.625845,45.2333794,0.03919415,ms,nan,nan,nan,nan,9.387,0.017,13.134,0.003,14.624,0.005,11.941,0.004,0,1.257,0.385,0.000,74.46258,0.24003,62.79228,-4.99708,0.44140,4.75131,0.47514,3450.574591,0.372714498,0.9815,5.80E-13,1.07E-13,r,nan,0.391861886,0.000559072
2MASS J04502391+1712096,72.599663,17.202677,41.8760469,0.666369256,ms,nan,nan,nan,nan,5.666,0.020,6.969,0.003,7.250,0.003,6.510,0.004,2,19.275,1.185,0.004,7810.82018,262.19091,9.71681,nan,nan,9.04133,0.90439,6197.913261,14.33890952,nan,8.89E-13,1.30E-13,r,nan,1.239450659,0.014769077
2MASS J04503268-2413245,72.636172,-24.223480,35.6452103,0.05664065,ms,nan,nan,nan,nan,10.315,0.023,14.193,0.003,15.908,0.004,12.941,0.004,0,2.802,0.218,0.000,23.74693,0.07841,104.24576,nan,nan,3.22571,0.32259,3183.393897,0.550630387,nan,nan,nan,nan,nan,0.258834521,0.000313859
2MASS J04503379+1505004,72.640822,15.083447,48.6698456,0.4426651,ms,nan,nan,nan,nan,6.044,0.020,7.573,0.003,7.924,0.003,7.037,0.004,2,7.116,1.114,0.011,6189.50543,127.26711,11.06726,2.61448,0.21004,9.26526,0.92664,6030.308854,13.25893609,nan,4.53E-13,3.49E-14,rx,nan,1.158795356,0.005524557
2MASS J04504288+1918153,72.678705,19.304256,48.1650772,0.101202,ms,nan,nan,nan,nan,11.293,0.020,15.452,0.003,17.366,0.011,14.137,0.004,2,1.084,0.184,0.000,15.34552,0.06051,115.93154,nan,nan,2.77792,0.27782,3110.460812,0.657411307,nan,nan,nan,nan,nan,0.217262663,0.000374724
2MASS J04504853+1612376,72.702227,16.210472,50.1286316,0.0611763,ms,nan,nan,nan,nan,6.061,0.016,7.172,0.003,7.411,0.003,6.763,0.004,0,1.071,1.209,0.001,9351.12074,35.97110,9.32724,nan,nan,8.93809,0.89381,6276.080286,1.667402271,nan,6.90E-13,1.20E-13,r,nan,1.319962694,0.001717424
2MASS J04504975+1808284,72.707309,18.141233,46.6156006,0.1257305,ms,nan,nan,nan,nan,11.999,0.022,16.369,0.003,18.572,0.023,15.003,0.004,0,1.030,0.137,0.000,7.80781,0.03553,134.94295,-4.66559,0.08887,2.07127,0.20718,2977.062868,0.949499295,nan,nan,nan,nan,nan,0.170480883,0.000292154
2MASS J04510241+1458167,72.760057,14.971326,43.0292599,0.53693999,ms,nan,nan,nan,nan,7.967,0.020,10.987,0.003,11.908,0.004,10.037,0.004,2,20.368,0.612,0.003,326.81219,2.82452,33.72532,-0.79001,0.07283,6.74714,0.67493,3974.272307,5.605987858,nan,3.12E-13,1.30E-14,rx,nan,0.613165103,0.000654032
2MASS J04511253+1104049,72.802219,11.068043,49.0828705,16.50783737,ms,nan,nan,nan,nan,5.436,0.016,6.637,0.003,6.885,0.003,6.185,0.004,2,nan,1.355,0.197,14952.48347,10798.96692,7.35709,nan,nan,nan,nan,6609.859904,472.1767274,nan,1.71E-12,1.91E-13,r,nan,1.502929952,0.236088364
2MASS J04511387+0812026,72.807793,8.200729,62.2450218,0.11058045,ms,nan,nan,nan,nan,11.190,0.020,15.083,0.003,16.767,0.005,13.840,0.004,2,1.103,0.242,0.001,29.99404,0.10933,96.72133,nan,nan,3.48911,0.34895,3227.591745,0.86191795,nan,nan,nan,nan,nan,0.281623089,0.000373498
2MASS J04511884+2556333,72.828518,25.942600,47.5647278,0.11393925,ms,nan,nan,nan,nan,11.162,0.023,15.590,0.003,17.818,0.009,14.217,0.004,0,1.045,0.175,0.000,13.72591,0.05561,119.26753,-5.75980,0.10682,2.66213,0.26624,3090.315673,0.731632929,nan,nan,nan,nan,nan,0.208732583,0.000307286
2MASS J04512244+1850231,72.843507,18.839771,38.4274216,1.036253,ms,nan,nan,nan,nan,4.492,0.016,5.047,0.003,5.148,0.003,4.836,0.004,1,6.758,1.811,0.035,41588.01682,2864.64948,0.00000,nan,nan,nan,nan,7862.554496,86.78881313,nan,nan,nan,nan,nan,1.767092416,0.014464802
2MASS J04512320+1526004,72.846691,15.433470,61.0875626,0.1268196,ms,nan,nan,nan,nan,6.671,0.021,7.772,0.003,8.027,0.003,7.353,0.004,2,0.928,1.187,0.001,7938.76852,41.32124,9.68067,nan,nan,9.03165,0.90317,6204.96976,2.254637489,nan,5.27E-13,1.08E-13,r,nan,1.246718853,0.002322277
2MASS J04514917+1716255,72.954879,17.273766,53.0228271,0.42696765,ms,nan,nan,nan,nan,8.279,0.018,10.851,0.003,11.570,0.003,10.030,0.004,2,8.932,0.671,0.002,470.12582,4.89485,29.02890,0.59911,0.15322,7.77239,0.77809,4224.901032,6.426293255,nan,2.15E-14,1.76E-14,r,nan,0.654355701,0.001253127
2MASS J04514995+1339186,72.958157,13.655176,38.13882532,0.349096799,ms,nan,nan,nan,nan,4.941,0.015,6.317,0.003,6.395,0.004,5.746,0.008,2,12.761,1.291,0.005,12040.65315,242.83955,8.13762,nan,nan,8.74446,0.87455,6451.333334,13.34127091,nan,1.16E-12,9.94E-14,r,nan,1.41676,0.007604524
2MASS J04515333+2436365,72.972223,24.610140,47.6897697,0.097744,ms,nan,nan,nan,nan,11.540,0.022,15.817,0.003,17.852,0.011,14.483,0.004,0,1.076,0.163,0.000,11.82417,0.04282,123.90445,-8.09160,0.54419,2.51843,0.25187,3063.327996,0.654088143,nan,nan,nan,nan,nan,0.197397758,0.000274717
2MASS J04515724+0916530,72.988539,9.281407,40.8937378,0.0535316,ms,nan,nan,nan,nan,11.079,0.018,15.212,0.003,17.161,0.007,13.903,0.004,2,1.053,0.178,0.000,14.19495,0.03958,118.25029,-5.54329,0.23579,2.69450,0.26946,3096.396034,0.503844704,nan,nan,nan,nan,nan,0.211286334,0.000211615
2MASS J04522188+1710271,73.091207,17.174219,45.4442215,0.0853424,ms,nan,nan,nan,nan,11.451,0.018,15.661,0.003,17.655,0.009,14.340,0.004,0,1.006,0.166,0.000,12.23984,0.04181,122.81224,nan,nan,2.55172,0.25519,3069.580095,0.617010423,nan,nan,nan,nan,nan,0.20002364,0.000259144
2MASS J04522352+1859489,73.098011,18.996939,50.6294365,0.04210665,ms,nan,nan,nan,nan,7.742,0.020,9.937,0.003,10.502,0.003,9.230,0.004,0,0.952,0.748,0.001,880.02628,3.01502,24.08246,1.13141,0.17788,9.18225,0.91823,4681.670147,2.440258811,11.3400,2.82E-13,8.20E-14,r,nan,0.727913679,0.000445612
2MASS J04522385+1043099,73.099407,10.719429,51.9346657,0.0710888,ms,nan,nan,nan,nan,8.772,0.022,11.951,0.003,12.976,0.003,10.935,0.004,1,1.295,0.547,0.000,219.62132,0.84031,39.98224,-1.64715,0.01563,6.16528,0.61654,3789.557183,1.206198743,9.8800,5.16E-13,1.09E-13,r,nan,0.554756451,0.000663409
2MASS J04523924+4741522,73.163513,47.697838,62.0119095,0.3681164,ms,nan,nan,nan,nan,11.855,0.027,16.079,0.003,17.985,0.015,14.783,0.004,0,2.497,0.180,0.001,14.55425,0.13003,117.49996,nan,nan,2.71934,0.27211,3100.919385,1.609478172,nan,nan,nan,nan,nan,0.213186142,0.000675981
2MASS J04524755+2238503,73.198138,22.647322,47.9941292,0.65265085,ms,nan,nan,nan,nan,8.293,0.017,10.961,0.003,11.715,0.003,10.117,0.004,0,12.181,0.642,0.003,388.27294,6.76779,31.27961,0.57834,0.01575,7.17419,0.71932,4106.219643,10.72107034,nan,nan,nan,nan,nan,0.63121283,0.002090609
2MASS J04533425+2033517,73.392749,20.564369,33.3833809,1.14502525,uc,nan,nan,nan,nan,13.959,0.055,20.429,0.007,21.660,0.166,18.771,0.026,0,1.186,nan,nan,0.47389,0.01426,0.00000,nan,nan,nan,nan,1970.89263,12.87385152,nan,nan,nan,nan,nan,0.095217853,0.000257477
2MASS J04534090-0428336,73.420449,-4.476006,50.3841553,0.08830645,ms,nan,nan,nan,nan,11.345,0.021,15.428,0.003,17.288,0.008,14.140,0.004,0,1.054,0.191,0.000,16.75477,0.05864,113.46463,nan,nan,2.86802,0.28682,3125.136548,0.583550846,nan,nan,nan,nan,nan,0.225627832,0.000332624
2MASS J04534332+2103209,73.430506,21.055822,76.976265,0.1017189,ms,nan,nan,nan,nan,9.654,0.018,12.588,0.003,13.491,0.003,11.651,0.004,0,1.149,0.571,0.001,267.62608,1.18294,37.55520,0.55689,0.04020,6.37358,0.63741,3853.660069,2.553875373,nan,nan,nan,nan,nan,0.588915017,0.000638469
2MASS J04535700+0915588,73.487505,9.266356,40.1947327,0.0459728,ms,nan,nan,nan,nan,10.445,0.026,14.468,0.003,16.270,0.005,13.190,0.004,2,1.169,0.217,0.000,23.50562,0.06611,104.50325,-6.24208,0.14193,3.21523,0.32154,3181.687851,0.469127423,nan,2.43E-13,8.62E-14,r,0,0.257862075,0.000267403
2MASS J04543192-1154506,73.633016,-11.914076,35.2965927,0.0156517,ms,nan,nan,nan,nan,6.956,0.021,9.147,0.003,9.706,0.003,8.443,0.004,0,0.957,0.749,0.000,885.76027,2.73035,24.02465,1.02024,0.04094,9.18541,0.91854,4686.303914,2.195927259,10.3832,2.79E-13,8.90E-14,r,nan,0.728759845,0.000400995
2MASS J04543779+0924328,73.657461,9.409115,45.7553596,0.0602608,ms,nan,nan,nan,nan,10.720,0.022,14.629,0.003,16.393,0.005,13.365,0.004,0,1.065,0.224,0.000,25.63753,0.07674,102.33750,-6.91143,0.09657,3.30427,0.33044,3196.189555,0.499210193,0.8986,1.95E-13,6.95E-14,r,nan,0.266128046,0.00028455
2MASS J04544410+1940513,73.683750,19.680944,45.3370705,0.04652405,ms,nan,nan,nan,nan,9.277,0.017,12.830,0.003,14.169,0.003,11.683,0.004,0,1.127,0.413,0.000,94.95729,0.21523,57.97684,nan,nan,5.01653,0.50168,3499.470431,0.884925847,26.6435,1.35E-13,5.77E-14,r,nan,0.429186231,0.000245813
2MASS J04544882+0744199,73.703422,7.738887,39.2323418,0.02830505,ms,nan,nan,nan,nan,9.625,0.023,13.425,0.003,14.991,0.007,12.209,0.005,0,1.090,0.321,0.000,47.46346,0.10837,76.01327,nan,nan,4.20082,0.42010,3351.050653,0.660326976,nan,nan,nan,nan,nan,0.330900562,0.00025175
2MASS J04545344+2052100,73.722692,20.869453,67.5826492,0.36959075,ms,nan,nan,nan,nan,12.565,0.025,16.924,0.003,19.083,0.030,15.567,0.005,0,1.011,0.148,0.001,9.28935,0.07873,130.24613,nan,nan,2.25254,0.22545,3013.393483,1.764662742,nan,nan,nan,nan,nan,0.181659533,0.000542973
2MASS J04545835+1929075,73.743132,19.485430,62.4478416,0.10206415,ms,nan,nan,nan,nan,5.623,0.018,6.298,0.003,6.429,0.003,6.028,0.004,0,0.873,1.781,0.003,33533.86556,143.76887,0.00000,nan,nan,nan,nan,7498.326139,8.825307509,nan,nan,nan,nan,nan,1.747,0
2MASS J04551484+2121505,73.811867,21.364054,59.9751129,0.1040783,ms,nan,nan,nan,nan,11.263,0.018,15.238,0.003,16.999,0.006,13.976,0.004,0,1.075,0.222,0.000,25.24567,0.08781,102.71796,-3.21799,0.05604,3.28847,0.32887,3193.616724,0.580009419,1.4382,nan,nan,nan,nan,0.264661533,0.000330605
2MASS J04554258+2728384,73.927420,27.477339,56.6572238,2.471731576,ms,nan,nan,nan,nan,12.028,0.023,16.241,0.004,17.835,0.013,14.758,0.005,0,6.823,0.161,0.004,11.42919,0.75674,124.88324,nan,nan,2.48336,0.25839,3056.741317,13.40600698,nan,nan,nan,nan,nan,0.194997328,0.004124925
2MASS J04554665+2114503,73.944400,21.247322,57.1597443,0.0852032,ms,nan,nan,nan,nan,10.892,0.018,14.820,0.003,16.520,0.004,13.570,0.004,0,1.077,0.251,0.001,31.78681,0.10464,94.00919,nan,nan,3.56958,0.35699,3241.343793,0.778502856,nan,nan,nan,nan,nan,0.28758231,0.000337351
2MASS J04554905+2421458,73.954384,24.362732,51.6098824,0.044529,ms,nan,nan,nan,nan,10.092,0.019,13.733,0.003,15.219,0.004,12.545,0.004,0,1.135,0.356,0.000,57.60883,0.13747,68.49491,-1.44170,0.01764,4.51570,0.45159,3407.137129,0.690057515,24.2441,nan,nan,nan,nan,0.35228353,0.000263084
2MASS J04555897+2140007,73.995740,21.666883,48.8809967,0.54232405,uc,nan,nan,nan,nan,12.930,0.032,18.740,0.003,21.139,0.187,17.162,0.010,0,0.962,0.084,0.000,1.90447,0.02896,160.58034,nan,nan,0.54566,0.05508,2550.256508,5.174236147,nan,nan,nan,nan,nan,0.112683767,0.000344949
2MASS J04560611+2153527,74.025498,21.897999,58.3241348,0.1946888,ms,nan,nan,nan,nan,11.994,0.023,16.167,0.003,18.157,0.015,14.846,0.004,0,1.042,0.168,0.000,12.53914,0.06637,122.05503,nan,nan,2.57500,0.25755,3073.951825,0.955319672,nan,nan,nan,nan,nan,0.201859766,0.000401234
2MASS J04561266+1359038,74.052750,13.984394,59.1455612,0.28674315,ms,nan,nan,nan,nan,9.756,0.017,13.543,0.003,15.080,0.005,12.334,0.004,0,4.607,0.399,0.001,87.16701,0.86964,60.35452,-4.74670,0.01874,4.85027,0.48507,3468.818339,1.149699746,nan,nan,nan,nan,nan,0.419227509,0.00172455
2MASS J04561668+2122019,74.069508,21.367208,52.9415283,0.0720444,ms,nan,nan,nan,nan,10.247,0.017,14.022,0.003,15.594,0.004,12.806,0.004,0,1.200,0.327,0.001,49.21464,0.13982,74.53698,-1.78916,0.03238,4.26001,0.42603,3361.540646,0.821372581,nan,nan,nan,nan,nan,0.334899871,0.000313148
2MASS J04562298+1406039,74.095783,14.101108,58.8986588,0.2119522,ms,nan,nan,nan,nan,12.240,0.022,16.430,0.003,18.449,0.012,15.100,0.004,0,1.046,0.156,0.000,10.63140,0.06155,126.72611,-2.87003,0.08261,2.40279,0.24037,3041.610845,1.207155995,nan,nan,nan,nan,nan,0.190341798,0.000371433
