name,RA,DEC,D,e_D,mem_class,r,e_r,J,e_J,K,e_K,G,e_G,BP,e_BP,RP,e_RP,binary,ruwe,mass,e_mass,Lbol,e_Lbol,tau,EW,e_EW,chi,e_chi,Teff,e_Teff,Prot,xflux,e_xflux,x_source,xflag,radius,e_radius
2MASS J01001387+3404055,15.057795,34.068222,40.8814926,0.05743405,ms,nan,nan,nan,nan,10.623,0.021,14.785,0.003,16.712,0.009,13.476,0.005,0,1.231,0.201,0.000,19.20413,0.05934,109.75142,-7.49189,0.03276,3.00795,0.30081,3147.927368,0.515313554,nan,nan,nan,nan,nan,0.2386186,0.000293729
2MASS J01011867+3832302,15.327796,38.541737,37.5494995,0.02366255,ms,nan,nan,nan,nan,9.475,0.018,13.209,0.003,14.744,0.004,12.005,0.004,0,1.411,0.335,0.000,51.48910,0.11454,72.74246,nan,nan,4.33381,0.43340,3374.621308,0.643350171,nan,nan,nan,nan,nan,0.339886874,0.000245277
2MASS J01021501+3651428,15.562566,36.861893,49.6836357,0.08594705,ms,nan,nan,nan,nan,10.932,0.049,14.995,0.003,16.824,0.005,13.708,0.004,0,1.116,0.213,0.000,22.40026,0.07777,105.72743,-3.74680,0.17861,3.16584,0.31660,3173.642203,0.578892479,nan,nan,nan,nan,nan,0.253276055,0.000329969
2MASS J01043239+2607125,16.134995,26.120165,29.768858,0.0198994,ms,nan,nan,nan,nan,6.960,0.023,9.523,0.003,10.243,0.003,8.702,0.004,0,1.022,0.678,0.000,491.10781,0.96018,28.54332,nan,nan,7.92550,0.79258,4251.990658,1.211820078,nan,nan,nan,nan,nan,0.659638178,0.000236305
2MASS J01105082+4927587,17.711750,49.466324,49.4028397,0.05838585,ms,nan,nan,nan,nan,10.580,0.018,14.505,0.003,16.192,0.004,13.258,0.004,0,1.195,0.251,0.000,31.74678,0.09348,94.06714,-3.57063,0.04914,3.56783,0.35681,3241.045236,0.696515776,2.1103,1.01E-13,8.42E-15,x,nan,0.287452936,0.000301824
2MASS J01110616+5508596,17.775677,55.149902,41.787365,0.17925455,ms,nan,nan,nan,nan,3.907,0.086,4.301,0.003,4.378,0.003,4.138,0.004,0,0.952,2.037,0.004,113448.32442,1527.24739,0.00000,nan,nan,nan,nan,9209.157759,26.39769186,nan,nan,nan,nan,nan,2.132547995,0.001003112
2MASS J01113291+3218247,17.887141,32.306885,52.5037918,0.04870795,ms,nan,nan,nan,nan,8.097,0.029,10.616,0.003,11.332,0.003,9.800,0.004,0,1.020,0.690,0.000,535.21596,2.34866,27.68149,0.72709,0.02385,8.22102,0.82219,4305.243946,2.662272644,nan,nan,nan,nan,nan,0.670198616,0.000608519
2MASS J01124752+0154395,18.198002,1.910997,20.7358913,0.0165663,ms,nan,nan,nan,nan,8.769,0.019,12.652,0.003,14.327,0.003,11.401,0.004,0,1.414,0.247,0.000,30.99556,0.08011,95.17598,nan,nan,3.53464,0.35348,3235.372408,0.611496314,nan,nan,nan,nan,nan,0.28499471,0.000264982
2MASS J01134418+2737349,18.434091,27.626371,45.0905724,0.0503597,ms,nan,nan,nan,nan,10.150,0.017,13.990,0.003,15.614,0.006,12.756,0.004,0,1.270,0.289,0.000,39.75983,0.10348,83.73524,nan,nan,3.91148,0.39117,3299.774084,0.752552379,nan,3.74E-13,8.97E-14,r,nan,0.31135137,0.000286911
2MASS J01154885+4702259,18.953575,47.040531,46.534996,0.0849686,ms,nan,nan,nan,nan,11.277,0.018,15.451,0.003,17.408,0.009,14.140,0.004,0,1.105,0.180,0.000,14.59868,0.04897,117.40883,nan,nan,2.72273,0.27230,3101.470956,0.605986371,0.8599,3.09E-13,9.10E-14,r,nan,0.213417802,0.000254514
