Name,RAJ2000,DEJ2000,RUWE,Gmag,e_Gmag,BP-RP,Kmag,e_Kmag,r_K,D,e_D,bin,Prot,EW,e_EW,chi,e_chi,mass,e_mass,Lbol,e_Lbol,tau,NSPTP
Gaia DR3 63705433133130368,57.20090902,21.41127824,1.017,16.604872,0.003109,3.005381,12.641,0.026,2M,138.823456,1.2975995,0,0.6231,-7.00841813,0.44203397,4.037097493,0.042673321,0.302519478,0.005987326,42.9368446,1.444423576,80.27704435,44
Gaia DR3 63717665199974016,57.34380415,21.63230417,0.982,16.790188,0.00293,3.192259,12.658,0.028,2M,131.33226,1.256378,0,0.4171,-5.30999288,0.51760392,3.807735452,0.047661941,0.27752778,0.006327636,37.39814413,1.330864191,86.61339206,44
Gaia DR3 63730309584280960,57.92537802,21.66835523,1.598,11.271783,0.002837,1.05215,9.452,0.018,2M,139.238968,0.581047,0,5.272362835,nan,nan,8.790545651,0.053671503,0.895127534,0.003006483,2019.730924,56.70936185,17.20668557,31
Gaia DR3 63773774653147904,58.19024305,21.68888316,1.124,15.726802,0.002983,2.75987,11.957,0.02,2M,138.512436,1.032089,0,1.1461,-5.07107117,0.18246198,4.820315223,0.011727842,0.394971919,0.002082722,83.10802733,2.016866428,61.08055784,43
Gaia DR3 63775355201110016,58.20287168,21.70780858,1.076,13.937496,0.002835,2.035812,10.656,0.017,2M,126.362785,0.363354,0,0.553016775,nan,nan,6.379533911,0.031219442,0.57137852,0.002586465,268.4843273,4.840029853,37.50930161,41.5
Gaia DR3 63795455648004608,58.64496916,21.88390845,1.045,14.622399,0.002809,2.296548,11.178,0.018,2M,136.877609,0.496086,0,2.7745,-3.21728257,0.04425995,5.924453782,0.024275836,0.521602608,0.00280558,181.7988795,3.557672318,42.84869162,42
Gaia DR3 63824901943723392,58.01824125,21.76090291,0.971,17.552294,0.003007,3.307287,13.292,0.033,2M,134.923859,1.9403385,0,0.8865,nan,nan,3.093920437,0.035545655,0.2078874,0.003653933,20.88329947,1.017087131,107.5390569,44.5
Gaia DR3 63826070174824192,57.96482617,21.82141168,1.12,16.288523,0.003025,2.946344,12.344,0.024,2M,131.856918,0.9101255,0,0.813,-12.82872086,0.89645827,4.341077323,0.039390757,0.33619381,0.005139531,51.71880979,1.489981779,72.56838061,44
Gaia DR3 63826448131945984,57.96623692,21.82276742,1.001,15.841362,0.002858,2.796046,12.037,0.026,2M,133.028717,0.6866455,0,1.3131,-5.5395876,0.07643692,4.721974124,0.015246194,0.381374186,0.002294909,71.06476283,1.902634956,63.53705253,43.5
Gaia DR3 63838886357191936,58.07688668,22.01489367,1.058,14.832637,0.002836,2.268409,11.39,0.021,2M,148.9142,0.6527255,0,1.99027163,-2.4284163,0.04150617,5.885355381,0.028321808,0.517461092,0.003292769,176.6715651,4.064558534,43.33270655,42
Gaia DR3 63839023796354560,58.0277594,22.02074064,0.936,17.154518,0.002921,3.091371,13.122,0.031,2M,123.878471,1.501133,0,0.4687,nan,nan,3.077251556,0.033391373,0.206638531,0.003273134,20.54661543,0.894166255,107.9640191,44
Gaia DR3 63849572235829248,57.84945921,22.11338298,0.999,12.724305,0.003089,1.453537,10.196,0.019,2M,136.783691,0.2635195,0,6.40057919,0,0,8.401578664,0.075196741,0.693173405,0.001193612,570.8439824,15.9066236,27.49106706,36
Gaia DR3 63876402894075904,58.47009025,22.41853265,1.195,11.673621,0.002903,1.294675,9.406,0.018,2M,133.559204,0.2815705,1,6.3353,nan,nan,8.658040596,0.053671503,0.888494895,0.002772173,1900.040933,49.13772858,17.45737107,33
Gaia DR3 63884584809145600,58.23734696,22.4337152,1.052,15.189425,0.002833,2.522913,11.574,0.02,2M,133.836411,0.6633605,0,1.287921085,-4.38903896,0.07601769,5.361540354,0.024755366,0.446054097,0.002960451,116.1351543,2.669066973,52.79560546,43
Gaia DR3 63892006512622848,58.2154698,22.52581172,1.06,15.772704,0.002852,2.790759,11.911,0.018,2M,133.868134,0.8208615,0,1.1077,-7.1680747,0.09043678,4.803865092,0.010555057,0.392697341,0.001813522,80.95992276,1.708127717,61.48362438,43.5
Gaia DR3 63916431989200256,56.89235211,21.74681147,0.889,11.985237,0.002845,1.218634,9.895,0.018,2M,130.461166,0.229225,0,7.57604548,1.33971723,0.02544862,9.089247351,0.010678886,0.717390703,0.00367969,733.4350935,14.64419255,25.90927531,32
